date,period,gender_filter,rank,clothing_rank,category_code,category_name,product_id,brand,product_name,final_price,original_price,discount_rate,sales_label,viewers,flag,sold_out,image_url,product_url
2026-09-27,MONTHLY,M,488,295,002,아우터,5310906,언탭트 스튜디오,2WAY 코튼 해링턴 자켓 4Color,53900,98400,45,판매 1.1만개,486명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250811/5310906/5310906_17890236645811_500.jpg,https://www.musinsa.com/products/5310906
2026-09-27,MONTHLY,M,489,296,003,바지,7118496,다이브인,[DIVEIN X 무민서] WASHED VERN CARGO PANTS (BEIGE),119000,119000,0,,79명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260820/7118496/7118496_17875384399739_500.jpg,https://www.musinsa.com/products/7118496
2026-09-27,MONTHLY,M,490,297,002,아우터,7210212,아워데이즈,[오정규X아워데이즈] 워셔블 세미 크롭 라운드 니트 가디건 [6COLORS],49770,79000,37,판매 1.3천개,77명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260901/7210212/7210212_17887474027415_500.jpg,https://www.musinsa.com/products/7210212
2026-09-27,MONTHLY,M,492,298,002,아우터,5908006,알리스,디파인드 레더 해링턴 자켓 [블랙],120400,172000,30,,92명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260119/5908006/5908006_17697328674214_500.jpg,https://www.musinsa.com/products/5908006
2026-09-27,MONTHLY,M,495,299,002,아우터,5936556,웬즈데이오아시스,[NERDKING] 올웨이즈 워셔블 크롭 라운드 가디건_5COLOR,37950,69000,45,판매 4.8천개,229명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260126/5936556/5936556_17877097090228_500.jpg,https://www.musinsa.com/products/5936556
2026-09-27,MONTHLY,M,498,300,001,상의,4434539,언탭트 스튜디오,시티보이 빅 오버핏 플레이드 체크 셔츠 3Color,34970,49960,30,판매 2.3만개,224명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20240912/4434539/4434539_17261220660899_500.jpg,https://www.musinsa.com/products/4434539
2026-09-27,MONTHLY,F,1,1,002,아우터,5329359,아디다스,후드 집업 - 블랙:크림화이트 / KC9315,94990,119000,20,판매 2.6만개,1.8천명이 보는 중 / 42명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250818/5329359/5329359_17569461399483_500.jpg,https://www.musinsa.com/products/5329359
2026-09-27,MONTHLY,F,2,2,002,아우터,6061370,아수라,AUTHENTIC TRENCH JACKET (BEIGE),118800,198000,40,판매 3천개,957명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260226/6061370/6061370_17878944045413_500.jpg,https://www.musinsa.com/products/6061370
2026-09-27,MONTHLY,F,5,3,002,아우터,5162178,무신사 스탠다드 우먼,[시티 레저] 우먼즈 후디드 라이트 다운 재킷 [스톤 화이트],82320,109900,25,판매 1.3만개,697명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250602/5162178/5162178_17888650510734_500.jpg,https://www.musinsa.com/products/5162178
2026-09-27,MONTHLY,F,6,4,001,상의,6014700,탄산마그네슘,홀스 래빗 롱슬리브 (화이트),41440,74000,44,판매 9.6천개,1.1천명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260211/6014700/6014700_17775279342903_500.jpg,https://www.musinsa.com/products/6014700
2026-09-27,MONTHLY,F,7,5,002,아우터,5943431,아디다스,와플 클래식 트랙탑 - 원더화이트 / KQ6864,108990,129000,16,판매 1만개,405명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260127/5943431/5943431_17745057757383_500.jpg,https://www.musinsa.com/products/5943431
2026-09-27,MONTHLY,F,10,6,002,아우터,4945148,아디다스,아디컬러 클래식 트랙탑 (와플) - 원더화이트 / JW0109,109650,129000,15,판매 2.8만개,216명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250326/4945148/4945148_17453139295013_500.jpg,https://www.musinsa.com/products/4945148
2026-09-27,MONTHLY,F,11,7,002,아우터,5532467,수아레,(컬러 추가) 라이트 시어쉘 패딩 점퍼 - 6 COLOR,64350,165000,61,판매 4.2만개,2천명이 보는 중 / 60명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250925/5532467/5532467_17875486261088_500.jpg,https://www.musinsa.com/products/5532467
2026-09-27,MONTHLY,F,12,8,002,아우터,6100901,닉켈하우스,닉켈 26 동키 후드집업,89380,149000,40,판매 6.7천개,1천명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260309/6100901/6100901_17730403884837_500.jpg,https://www.musinsa.com/products/6100901
2026-09-27,MONTHLY,F,13,9,002,아우터,7104788,수아레 우먼,(우먼)라이트 시어쉘 패딩 점퍼 - 6 COLOR,73400,165000,56,판매 3.4천개,405명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260819/7104788/7104788_17875486705995_500.jpg,https://www.musinsa.com/products/7104788
2026-09-27,MONTHLY,F,16,10,001,상의,5432652,탄산마그네슘,마운틴 롱슬리브 (화이트/레드),42180,74000,43,판매 1.7만개,483명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250909/5432652/5432652_17605981290104_500.jpg,https://www.musinsa.com/products/5432652
2026-09-27,MONTHLY,F,21,11,002,아우터,5759548,마뗑킴,SPELL POINT STRIPE KNIT CARDIGAN IN BLACK,151470,198000,24,판매 4.9천개,245명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20251120/5759548/5759548_17636302731261_500.jpg,https://www.musinsa.com/products/5759548
2026-09-27,MONTHLY,F,22,12,002,아우터,6928720,무센트,포즌 믹스 레터링 후드집업 남녀공용,41340,120500,66,판매 2.8천개,182명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260727/6928720/6928720_17878813907976_500.jpg,https://www.musinsa.com/products/6928720
2026-09-27,MONTHLY,F,23,13,002,아우터,6061372,아수라,AUTHENTIC TRENCH JACKET (CHARCOAL),118800,198000,40,,297명이 보는 중,none,False,https://image.msscdn.net/images/goods_img/20260226/6061372/6061372_17878945865919_500.jpg,https://www.musinsa.com/products/6061372
2026-09-27,MONTHLY,F,25,14,003,바지,6092187,무신사 스탠다드 우먼,우먼즈 코튼 커브드 팬츠 (5 colors),37380,49900,25,판매 1.3만개,675명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260306/6092187/6092187_17841020528579_500.jpg,https://www.musinsa.com/products/6092187
2026-09-27,MONTHLY,F,26,15,002,아우터,7108774,디미트리블랙,[10주년기획] © 모두의 Comfortemp® 미드웨이트 패딩_4 COLOR,69900,133400,48,판매 5.4천개,1.3천명이 보는 중 / 32명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260819/7108774/7108774_17885055232191_500.jpg,https://www.musinsa.com/products/7108774
2026-09-27,MONTHLY,F,29,16,002,아우터,5329361,아디다스,후드 집업 - 그레이:블랙 / KC9317,94990,119000,20,판매 7.3천개,417명이 보는 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20250818/5329361/5329361_17569461783112_500.jpg,https://www.musinsa.com/products/5329361
2026-09-27,MONTHLY,F,34,17,002,아우터,6838154,스파오,[씬라이트] 여성 후드 재킷_SPJPG4TG24,48520,59900,19,판매 4.7천개,1.2천명이 보는 중 / 30명이 구매 중,누적 판매 N만 돌파,False,https://image.msscdn.net/images/goods_img/20260714/6838154/6838154_17884174549576_500.jpg,https://www.musinsa.com/products/6838154
